234567-12345, Mark, be39b4477c234e22bde26189493cd0bc, 100.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 69000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 690000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 690000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 690000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 690000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 6900000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 6900000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 6900000.0, 2024-04-16
030905-01334, Daniils, 7m493791o0684f1nof5fl8it80626123, 6900000.0, 2024-04-16
123456-12345, Daniils, 7b493791a0684f1daf5fa8ea80626123, 100.0, 2024-04-17
